location_name,review_count,is_closed,price,rating
A plus Thai Place,216,False,2.0,3.5
A1 Asian Fusion,126,False,2.0,3.5
A1 Sushi Cafe,16,True,,2.5
A10 Kitchen,54,False,2.0,4.5
ABA Turkish Restaurant,562,False,2.0,4.0
ABC Cocina,968,False,3.0,4.0
ABC Kitchen,3109,False,3.0,4.0
AJ Maxwell's Steakhouse,176,True,4.0,3.0
AJ36 Chinese Cuisine,8,True,1.0,1.5
ANA Ramen,46,True,,4.0
ANDY'S Taco Japanese & Mexican Food,6,False,,4.0
AOA Bar & Grill,374,True,2.0,3.0
AOC East,184,False,2.0,4.0
AWOL Bar & Grill,67,False,2.0,3.5
Aahar Indian Cuisine,400,False,2.0,4.5
Aaheli Indian Cuisine,355,True,2.0,4.0
Aamber,1,False,,5.0
Aangan,221,False,2.0,3.5
Aaron's Chinese and Thai,60,False,2.0,2.0
Aaron's Steaks,29,True,1.0,1.5
Aasira Japanese Restaurant,1,False,,5.0
Abacky Fusion Cuisine,34,False,2.0,3.5
Abaita,94,False,,4.0
Abba's Italian Steaks and Chops,8,True,,4.5
Abbey Pub,111,True,2.0,4.0
Abbey Tavern,87,False,2.0,3.5
Abbottega,48,True,2.0,4.0
Abcv,604,False,3.0,4.0
Abigael's on Broadway,151,True,3.0,3.5
Abiko Curry,933,False,2.0,4.0
Abitino's Pizza,51,False,1.0,2.5
Abitino's Pizzeria,323,True,1.0,2.5
About 5,2,True,1.0,4.0
Above,18,True,2.0,2.5
Abu Dhabi Restaurant & Hookah Lounge,8,True,3.0,2.5
Aburiya Kinnosuke,790,False,3.0,4.0
Abyssinia Ethiopian Restaurant,257,False,2.0,4.0
Acappella,152,True,4.0,4.0
Acapulco Fajita Tex Mexican Express,4,False,,2.0
Accent Restaurant & Bar,80,False,2.0,4.5
Accord Asian Cuisine,30,False,3.0,1.5
Accra Restaurant,148,False,2.0,4.0
Ace's Pizza,13,False,,5.0
Achar,9,False,2.0,3.5
Acme,422,False,3.0,3.0
Acosta Restaurant,44,False,1.0,3.5
Acqua,156,True,2.0,3.5
Acqua Restaurant NYC,375,True,2.0,4.0
Adalya,149,False,2.0,3.5
Adana Grill,74,True,2.0,3.5
Adel's Famous Halal Food,377,False,1.0,4.5
Adel's Halal Food,76,True,1.0,4.0
Adham's Halal Food,6,False,1.0,3.5
Adoro Lei,343,False,2.0,4.5
Adriana Pizzeria,26,True,1.0,2.5
Adriatic Italian Restaurant,50,True,2.0,3.0
Adrienne's Pizzabar,1774,False,2.0,4.0
Adyar Ananda Bhavan,367,False,2.0,3.5
Afandi Grill,74,True,2.0,4.0
Affaire,163,True,2.0,3.5
Afghan Kebab House,287,False,2.0,3.5
Afghan Kebab House II,215,False,2.0,4.0
Africa Kine Restaurant,179,False,2.0,3.5
African American Best Food,9,True,2.0,2.0
Agape Cafe,3,False,,3.0
Agave,2821,False,3.0,3.3333333333333335
Ageha Sushi,705,False,2.0,4.0
Agern,211,True,4.0,4.0
Agoda Asian Restaurant,14,True,2.0,2.0
Agora Turkish Restaurant,650,False,2.0,4.5
Agozar Cuban Restaurant,551,True,2.0,3.5
Agra Restaurant,183,True,2.0,4.0
Agra's BayLeaf,2,True,,3.0
Agua Fresca,97,True,2.0,4.0
Ah Chihuahua Chihuahua's,2,True,,2.5
Ahana,158,True,2.0,4.0
Ai Fiori,1389,False,4.0,4.0
Ai Ki Ya,73,False,,4.0
Ai Zhen Foo Chow Restaurant,4,False,,3.5
Ainsworth Park,198,True,2.0,3.0
Air's,74,False,2.0,4.0
Aires Restaurant,3,False,,3.5
Aiyara Thai,101,False,2.0,4.0
Aja,1,True,,1.0
Aja Asian Fusion,3,False,,1.0
Ajanta Express,2,True,,3.0
Ajisai Japanese Fusion,169,False,2.0,3.5
Ajisai Japanese Restaurant,453,True,2.0,3.5
Ajisen Ramen,900,False,2.0,3.5
Akami Sushi,49,False,2.0,3.0
Akbar Palace,35,True,2.0,4.0
Akdeniz Mediterranean,27,True,2.0,4.5
Akdeniz Mediterranean Restaurant,399,True,2.0,4.0
Aki King,14,True,2.0,3.5
Aki Sushi & Grill,71,True,2.0,3.0
Aki Sushi West,86,True,2.0,2.5
Akimoto Sushi,94,False,2.0,2.5
